gene,rna_fl,rna_bm,atac_bm,atac_fl,E1_perc,E2_perc,E3_perc,E4_perc,W1_perc,W2_perc,W3_perc,W4_perc
0610040J01Rik,1.29422408896325,-0.937864570830106,-0.748515957035572,0.490404110152765,-0.152297821117009,-2.35662462146344,0.314002078956274,0.0287494512923962,0.565692695359466,0.220742098941618,0.650303219009127,0.729432899021563
2900005J15Rik,0.454107390021074,0.792922283578786,0.285821983083345,-1.45694446170118,0.621813742583818,-1.07163644998488,1.46853883886816,0.833495016654904,0.515973105548274,-1.07163644998488,-0.22491135370053,-1.07163644998488
6030468B19Rik,2.08940678703758,-1.78858952545331,-0.503655733995324,-0.596221699136908,-1.32587428441049,-1.32587428441049,0.477014260963549,0.0262921246200381,1.07797710942156,1.37845853365057,-0.424430011723473,0.11643655188874
9030619P08Rik,-0.728782049490295,0.602094721754995,-0.473978502305443,-0.487327772552843,0.834439960466386,0.834439960466386,0.122942564708214,0.457764868594412,0.269427322658425,0.332206504637088,-2.1789607745094,-0.672260407021509
AW112010,-0.801642254603281,1.0507747289083,0.230874460682925,-0.854577168262675,0.578976250004621,0.425465512143523,0.744859883875451,0.838763652538786,-1.24454524216356,0.962753094657364,-0.94078005482024,-1.36549309623594
Abca2,-0.598581327714189,0.34720300914184,-1.00090731499589,-1.03105409271852,-0.908264231790739,-0.908264231790739,0.686736370378363,0.509514081248464,1.21840323776806,1.21840323776806,-0.908264231790739,-0.908264231790739
Abca4,-0.752976657607868,0.756618306892218,1.37678876668722,-0.278704659415769,-0.651885894017839,-1.2587128095689,-0.376327173407784,-0.747802913482693,-0.118318287199233,0.95905645246034,0.408057878043137,1.78593274717297
Abcb1b,-1.05469124118281,1.22946851690795,-0.810542084871612,-0.546970965270138,0.152245879901625,-1.97919643872112,-0.152245879901625,-0.608983519606498,-0.152245879901625,1.217967039213,0.761229399508122,0.761229399508122
Abcc1,-0.517410449817384,0.252413041486063,-0.636187696006802,0.00031044998049096,0.519493819849567,-1.48299096182678,0.00695307215859873,-0.0923765301070938,1.18698874707501,0.741992128924717,0.602930685752748,-1.48299096182678
Abcg3,0.9434717392706,0.391822868546796,-0.502096247771986,-0.331143007904519,1.21703462184629,0.0412544607283546,0.59461113795379,0.814144916288399,-0.931436399832851,-0.256988568061257,-1.85150493150486,0.372884762582133
Abhd15,-0.612348325791035,0.763640802315797,-0.889057690921828,-1.4304858683673,0.863017245307589,-2.04537453136417,0.874612350601594,0.881411041608127,0.0458168487818495,-0.118301968394167,-0.691116509903768,0.18993552336294
Abhd4,-0.583950919441399,0.314297744874922,1.6192227354916,-1.01041394004834,-0.821171008321362,-0.821171008321362,1.54380149564416,1.14963941164991,0.755477327655653,-0.164234201664271,-0.821171008321362,-0.821171008321362
Acsl6,0.747747773450486,-1.28163290159685,-0.0826936620810791,-0.278481943983666,0.135945191809091,-0.77035608691818,-0.286995404930303,-1.31413685415454,0.196365277057575,1.40476698202727,1.40476698202727,-0.77035608691818
Adam19,1.7673199501229,-2.55290216956872,0.204864458315112,0.615606374252603,0.507297488259323,-1.10940569484605,0.145113982953249,1.85294626864167,0.150363019262032,0.391818689466081,-0.929772007834344,-1.00836174590197
