chr	start	end	strand	E18pt5_3	E18pt5_4	Week4_2	Week4_3	Week4_4	X2.year_3	X2.year_4	pval	clusters
chr1	85082596	85082596	+	0.151515151515152	0.16	0.230769230769231	0.25	0.2	0.5	0.5	9.08038890841874e-05	3
chr1	88230602	88230602	+	0.394736842105263	0.545454545454545	0.608695652173913	0.59375	0.625	0.689655172413793	0.818181818181818	0.0398847141944258	3
chr1	171063940	171063940	+	0.228571428571429	0.25	0.321428571428571	0.421052631578947	0.25	0.5	0.482758620689655	0.0351696470037686	3
chr1	171065451	171065451	-	0	0	0.0769230769230769	0	0	0.3	0.2	0.0102457360132045	3
chr1	171065454	171065454	-	0	0	0.153846153846154	0.0769230769230769	0	0.388888888888889	0.4	0.0038272394252155	3
chr1	171065875	171065875	-	0	0	0	0	0	0.266666666666667	0.25	2.11614217435077e-06	3
chr1	171065944	171065944	+	0.113636363636364	0	0.2	0.16	0.111111111111111	0.583333333333333	0.391304347826087	0.0148423142252097	3
chr12	20234319	20234319	-	0.710526315789474	0.648648648648649	0.851851851851852	0.85	0.705882352941177	0.96551724137931	0.92	0.0386433980654594	3
chr12	20234361	20234361	-	0.794871794871795	0.594594594594595	0.838709677419355	0.714285714285714	0.722222222222222	1	1	0.0475234090393323	3
chr13	9834341	9834341	+	0.19047619047619	0.166666666666667	0.153846153846154	0.211538461538462	0.233333333333333	0.463768115942029	0.421875	0.00225334479350859	3
chr13	9834365	9834365	+	0.304347826086957	0.240384615384615	0.318181818181818	0.333333333333333	0.363636363636364	0.623529411764706	0.625	0.000445855781884918	3
chr13	9834369	9834369	+	0.422535211267606	0.375	0.444444444444444	0.517241379310345	0.411764705882353	0.71264367816092	0.644736842105263	0.00878819545464912	3
chr13	9834399	9834399	+	0.328571428571429	0.28	0.454545454545455	0.6	0.424242424242424	0.75609756097561	0.662162162162162	0.0153765907087879	3
chr13	9834445	9834445	+	0.263157894736842	0.265957446808511	0.358974358974359	0.3	0.333333333333333	0.5	0.573333333333333	0.00261563600460454	3
chr13	119616133	119616133	+	0.528571428571429	0.621621621621622	0.442307692307692	0.574074074074074	0.6	0.836363636363636	0.827586206896552	0.0202519414818658	3
chr13	119617350	119617350	-	0.2	0.428571428571429	0.234042553191489	0.313725490196078	0.0869565217391304	0.733333333333333	0.8	0.0151790059451789	3
chr16	11144252	11144252	-	0.390243902439024	0.524137931034483	0.511111111111111	0.530864197530864	0.595744680851064	0.714285714285714	0.726027397260274	0.0230936519221029	3
chr17	39845751	39845751	-	0.402439024390244	0.347368421052632	0.410958904109589	0.448717948717949	0.477272727272727	0.7578125	0.602739726027397	0.0170861610582251	3
chr17	39845782	39845782	-	0.444444444444444	0.541666666666667	0.523809523809524	0.708333333333333	0.571428571428571	0.794520547945205	0.794871794871795	0.0387851680522695	3
chr4	3253997	3253997	+	0.571428571428571	0.611111111111111	0.578947368421053	0.818181818181818	0.769230769230769	0.958333333333333	0.914285714285714	0.046836492015354	3
chr4	146239636	146239636	+	0	0	0	0	0	0.260869565217391	0.428571428571429	0.00585187844626456	3
chr4	147087021	147087021	+	0	0.166666666666667	0.0833333333333333	0.153846153846154	0	0.428571428571429	0.375	0.0242920266172161	3
chr5	15659140	15659140	-	0	0.4	0.263157894736842	0.333333333333333	0.25	0.909090909090909	0.833333333333333	0.0180038625280553	3
chr5	146261314	146261314	-	0.0625	0.0909090909090909	0	0	0	0.421052631578947	0.454545454545455	1.55204134801423e-05	3
chr8	15519943	15519943	+	0.243243243243243	0.206896551724138	0.269230769230769	0.290322580645161	0.363636363636364	0.583333333333333	0.454545454545455	0.0166938818668185	3
chr8	15519949	15519949	-	0.03125	0.04	0	0	0.0666666666666667	0.43859649122807	0.432432432432432	0.000157104676722254	3
chr8	15519961	15519961	-	0	0	0	0	0	0.274509803921569	0.388059701492537	0.0015598284865119	3
chr8	19705796	19705796	-	0.666666666666667	0.620689655172414	0.675675675675676	0.866666666666667	0.785714285714286	0.96551724137931	0.902439024390244	0.0408722270944438	3
chr9	3028767	3028767	-	0.25	0.461538461538462	0.272727272727273	0.333333333333333	0.416666666666667	0.7	0.7	0.0241374722350865	3
chr9	3035730	3035730	-	0.438202247191011	0.414634146341463	0.389830508474576	0.58	0.471698113207547	0.768292682926829	0.678571428571429	0.0318914791238429	3
