chr	start	end	strand	E18pt5_1.percMeth	E18pt5_2.percMeth	E18pt5_3.percMeth	E18pt5_4.percMeth	Week4_1.percMeth	Week4_2.percMeth	Week4_3.percMeth	Week4_4.percMeth	X2.year_1.percMeth	X2.year_2.percMeth	X2.year_3.percMeth	X2.year_4.percMeth	pvals
chr1	59347454	59347454	+	0.901477832512315	0.897196261682243	0.889975550122249	0.896656534954407	0.892733564013841	0.885245901639344	0.916279069767442	0.91715976331361	0.914634146341463	0.932367149758454	0.938679245283019	0.919444444444444	0.0135000678580299
chr1	84982566	84982566	+	0.333333333333333	NA	0.40625	0.25	0.5	0.625	0.4	0.5	NA	0.4	0.390243902439024	0.4	0.0418339628776162
chr1	84988044	84988044	-	0.857142857142857	0.8125	0.829268292682927	0.826923076923077	1	1	0.928571428571429	0.875	0.9	1	0.918918918918919	0.928571428571429	0.00818733308301422
chr1	85108158	85108158	+	0.909090909090909	NA	0.714285714285714	0.846153846153846	1	1	1	0.909090909090909	NA	1	1	1	0.0169655111879968
chr1	85108191	85108191	+	0.8	0.727272727272727	0.911764705882353	0.857142857142857	0.961538461538462	0.952380952380952	1	1	NA	0.9375	0.894736842105263	0.888888888888889	0.00992885033721944
chr1	85114324	85114324	+	0.866666666666667	NA	0.714285714285714	0.807692307692308	0.785714285714286	0.851851851851852	0.88235294117647	0.9	1	0.9375	0.972972972972973	1	0.00482458408737938
chr1	85147730	85147730	+	0.863636363636364	NA	0.787878787878788	0.84375	1	0.944444444444444	0.954545454545455	1	NA	0.904761904761905	0.947368421052632	0.945945945945946	0.00166247926609038
chr1	85167035	85167035	-	0.846153846153846	0.941176470588235	0.862068965517241	0.942857142857143	0.857142857142857	1	0.896551724137931	0.928571428571429	1	1	0.979166666666667	0.98	0.0495279403477652
chr1	85259388	85259388	-	0.75	0.818181818181818	0.875	0.853658536585366	0.933333333333333	NA	0.928571428571429	1	NA	0.888888888888889	0.975	0.925925925925926	0.018117210854244
chr1	85269534	85269534	+	0.875	0.916666666666667	0.870967741935484	0.925925925925926	0.92	0.947368421052632	0.941176470588235	0.928571428571429	NA	1	0.972972972972973	1	0.00105768054670927
chr1	85269966	85269966	+	0.363636363636364	0.470588235294118	0.491803278688525	0.508196721311475	0.625	0.5	0.727272727272727	0.710526315789474	0.727272727272727	0.674418604651163	0.5625	0.603448275862069	0.0176124594382152
chr1	85271143	85271143	-	1	0.875	0.918918918918919	0.92	1	1	1	1	NA	1	1	1	0.021888338131145
chr1	85276903	85276903	-	0.902439024390244	0.894736842105263	0.969072164948454	0.93939393939394	0.973684210526316	1	1	0.952380952380952	1	0.95	0.97979797979798	0.976470588235294	0.031436527964674
chr1	85283562	85283562	-	0.789473684210526	0.909090909090909	0.833333333333333	0.849056603773585	0.93939393939394	0.894736842105263	1	0.875	NA	0.952380952380952	0.966666666666667	0.941176470588235	0.031222144713285
chr1	85298647	85298647	-	0.5	NA	0.69047619047619	0.55	0.658536585365854	0.7	0.681818181818182	0.805555555555556	NA	0.75	0.760869565217391	0.888888888888889	0.0322530691086313
chr1	85309079	85309079	-	0.769230769230769	0.857142857142857	0.9	0.783783783783784	1	0.904761904761905	1	0.823529411764706	NA	0.944444444444444	0.96	1	0.0498792013432665
chr1	85313424	85313424	+	0.761904761904762	0.769230769230769	0.825	0.862068965517241	0.842105263157895	NA	0.944444444444444	0.909090909090909	1	0.95	0.894736842105263	0.9	0.0147950979086282
chr1	85317154	85317154	-	0.625	NA	0.774193548387097	0.709677419354839	0.777777777777778	0.857142857142857	0.916666666666667	0.916666666666667	NA	0.909090909090909	0.857142857142857	0.870967741935484	0.0144391155121364
chr1	85325053	85325053	-	0.833333333333333	0.692307692307692	0.75	0.857142857142857	0.96875	1	1	0.857142857142857	NA	1	0.827586206896552	0.848484848484849	0.0389444611529196
